species;code
Citharexylum ligustrifolium;extratropical
Citharexylum ligustrinum;generalist
Citharexylum lucidum;tropical
Citharexylum lycioides;extratropical
Citharexylum macradenium;tropical
Citharexylum macrochlamys;tropical
Citharexylum macrophyllum;tropical
Citharexylum mexicanum;extratropical
Citharexylum microphyllum;tropical
Citharexylum mocinoi;tropical
Citharexylum montanum;tropical
Citharexylum montevidense;generalist
Citharexylum myrianthum;tropical
Citharexylum oleinum;extratropical
Citharexylum ovatifolium;generalist
Citharexylum poeppigii;tropical
Citharexylum punctatum;generalist
Citharexylum quercifolium;generalist
Citharexylum racemosum;extratropical
Citharexylum reticulatum;tropical
Citharexylum rosei;extratropical
Citharexylum roxanae;extratropical
Citharexylum scabrum;generalist
Citharexylum schottii;tropical
Citharexylum solanaceum;generalist
Citharexylum spinosum;tropical
Citharexylum steyermarkii;generalist
Citharexylum subflavescens;generalist
Citharexylum sulcatum;generalist
Citharexylum svensonii;generalist
Citharexylum tetramerum;extratropical
Citharexylum tristachyum;tropical
Citharexylum ulei;tropical
Cleonia lusitanica;extratropical
Clerodendrum adenophysum;tropical
Clerodendrum alboviolaceum;tropical
Clerodendrum anomalum;tropical
Clerodendrum arenarium;tropical
Clerodendrum atlanticum;tropical
Clerodendrum aucubifolium;tropical
Clerodendrum baronianum;tropical
Clerodendrum baumii;tropical
Clerodendrum bipindense;tropical
Clerodendrum brachyanthum;tropical
Clerodendrum brachystemon;tropical
Clerodendrum bracteatum;generalist
Clerodendrum brassii;tropical
Clerodendrum brunfelsiiflorum;tropical
Clerodendrum brunnescens;tropical
Clerodendrum buchananii;tropical
Clerodendrum buchneri;extratropical
Clerodendrum buettneri;tropical
Clerodendrum bungei;extratropical
Clerodendrum calamitosum;tropical
Clerodendrum canescens;generalist
Clerodendrum capitatum;tropical
Clerodendrum carnosulum;tropical
Clerodendrum cauliflorum;tropical
Clerodendrum cecil-fischeri;tropical
Clerodendrum cephalanthum;tropical
Clerodendrum chartaceum;tropical
Clerodendrum chinense;generalist
Clerodendrum confusum;tropical
Clerodendrum costatum;tropical
Clerodendrum cyrtophyllum;generalist
Clerodendrum deflexum;tropical
Clerodendrum disparifolium;tropical
Clerodendrum dusenii;tropical
Clerodendrum elliotii;tropical
Clerodendrum emirnense;tropical
Clerodendrum ervatamioides;tropical
Clerodendrum excavatum;tropical
Clerodendrum farafanganense;tropical
Clerodendrum fistulosum;tropical
Clerodendrum floribundum;generalist
Clerodendrum formicarum;tropical
Clerodendrum frutectorum;generalist
Clerodendrum fuscum;tropical
Clerodendrum garrettianum;generalist
Clerodendrum gibbosum;tropical
Clerodendrum glandulosum;tropical
Clerodendrum globosum;tropical
Clerodendrum globuliflorum;tropical
Clerodendrum godefroyi;tropical
Clerodendrum grayi;tropical
Clerodendrum grevei;tropical
Clerodendrum griffithianum;extratropical
Clerodendrum haematolasium;tropical
Clerodendrum hainanense;tropical
Clerodendrum hendersonii;tropical
Clerodendrum henryi;generalist
Clerodendrum hettae;undetermined
Clerodendrum hildebrandtii;tropical
Clerodendrum hircinum;tropical
Clerodendrum inaequipetiolatum;tropical
Clerodendrum indicum;generalist
Clerodendrum infortunatum;tropical
Clerodendrum intermedium;tropical
Clerodendrum involucratum;tropical
Clerodendrum japonicum;tropical
Clerodendrum johnstonii;tropical
Clerodendrum kaichianum;extratropical
Clerodendrum kinabaluense;tropical
Clerodendrum klemmei;tropical
Clerodendrum kwangtungense;extratropical
Clerodendrum laevifolium;tropical
Clerodendrum lankawiense;tropical
Clerodendrum lanuginosum;tropical
Clerodendrum leucophloeum;undetermined
Clerodendrum lloydianum;tropical
Clerodendrum longiflorum;tropical
Clerodendrum longilimbum;extratropical
Clerodendrum luteopunctatum;extratropical
Clerodendrum macrocalycinum;tropical
Clerodendrum macrostachyum;tropical
Clerodendrum macrostegium;tropical
Clerodendrum magnoliifolium;tropical
Clerodendrum mandarinorum;extratropical
Clerodendrum melanocrater;tropical
Clerodendrum micans;tropical
Clerodendrum minahassae;tropical
Clerodendrum mindorense;generalist
Clerodendrum moramangense;tropical
Clerodendrum myrmecophilum;tropical
Clerodendrum nipense;tropical
Clerodendrum nutans;tropical
Clerodendrum paniculatum;tropical
Clerodendrum parvulum;tropical
Clerodendrum peii;generalist
Clerodendrum perrieri;tropical
Clerodendrum petunioides;tropical
Clerodendrum phyllomega;tropical
Clerodendrum pleiosciadium;tropical
Clerodendrum poggei;tropical
Clerodendrum polycephalum;tropical
Clerodendrum putre;tropical
Clerodendrum pygmaeum;tropical
Clerodendrum pynaertii;tropical
Clerodendrum pyrifolium;tropical
Clerodendrum quadriloculare;tropical
Clerodendrum ridleyi;tropical
Clerodendrum robustum;tropical
Clerodendrum roseiflorum;tropical
Clerodendrum rotundifolium;tropical
Clerodendrum rubellum;tropical
Clerodendrum rumphianum;tropical
Clerodendrum sarawakanum;tropical
Clerodendrum sassandrense;tropical
Clerodendrum schmidtii;tropical
Clerodendrum schweinfurthii;tropical
Clerodendrum silvanum;tropical
Clerodendrum sinuatum;tropical
Clerodendrum speciosissimum;tropical
Clerodendrum splendens;tropical
Clerodendrum sylvestre;tropical
Clerodendrum tanganyikense;extratropical
Clerodendrum tatei;tropical
Clerodendrum ternatum;extratropical
Clerodendrum tessmannii;tropical
Clerodendrum thomsoniae;tropical
Clerodendrum thyrsoideum;tropical
Clerodendrum tibetanum;extratropical
Clerodendrum tomentellum;tropical
Clerodendrum tomentosum;generalist
Clerodendrum tonkinense;tropical
Clerodendrum toxicarium;tropical
Clerodendrum tracyanum;tropical
Clerodendrum trichanthum;tropical
Clerodendrum tricholobum;tropical
Clerodendrum trichotomum;extratropical
Clerodendrum umbellatum;tropical
Clerodendrum umbratile;tropical
Clerodendrum villosum;tropical
Clerodendrum volubile;tropical
Clerodendrum welwitschii;tropical
Clerodendrum yunnanense;extratropical
Clinacanthus nutans;tropical
Clinopodium abyssinicum;generalist
Clinopodium acinos;extratropical
Clinopodium acutifolium;generalist
Clinopodium alpestre;tropical
Clinopodium alpinum;extratropical
Clinopodium ashei;generalist
Clinopodium barosmum;extratropical
Clinopodium bolivianum;generalist
Clinopodium brevicalyx;generalist
Clinopodium breviflorum;tropical
Clinopodium brownei;generalist
Clinopodium carolinianum;extratropical
Clinopodium chandleri;extratropical
Clinopodium chilense;extratropical
Clinopodium chinense;extratropical
Clinopodium coccineum;extratropical
Clinopodium creticum;extratropical
Clinopodium dalmaticum;extratropical
Clinopodium darwinii;extratropical
Clinopodium debile;extratropical
Clinopodium dentatum;extratropical
Clinopodium discolor;extratropical
Clinopodium fasciculatum;extratropical
Clinopodium flabellifolium;tropical
Clinopodium foliolosum;tropical
Clinopodium ganderi;extratropical
Clinopodium gilliesii;extratropical
Clinopodium glabellum;extratropical
Clinopodium gracile;extratropical
Clinopodium graveolens;extratropical
Clinopodium hintoniorum;extratropical
Clinopodium insulare;extratropical
Clinopodium jaliscanum;generalist
Clinopodium jamesonii;generalist
Clinopodium javanicum;extratropical
Clinopodium kilimandschari;generalist
Clinopodium latifolium;extratropical
Clinopodium laxiflorum;extratropical
Clinopodium loesenerianum;tropical
Clinopodium ludens;tropical
Clinopodium macranthum;extratropical
Clinopodium macrostemum;extratropical
Clinopodium megalanthum;extratropical
Clinopodium menthifolium;extratropical
Clinopodium mexicanum;extratropical
Clinopodium micranthum;extratropical
Clinopodium mimuloides;extratropical
Clinopodium multicaule;extratropical
Clinopodium multiflorum;extratropical
Clinopodium mutabile;extratropical
Clinopodium myrianthum;tropical
Clinopodium nanum;extratropical
Clinopodium nepalense;extratropical
Clinopodium nepeta;extratropical
Clinopodium nubigenum;generalist
Clinopodium odorum;extratropical
Clinopodium omeiense;extratropical
Clinopodium pallidum;extratropical
Clinopodium palmeri;extratropical
Clinopodium paradoxum;generalist
Clinopodium polycephalum;extratropical
Clinopodium procumbens;generalist
Clinopodium pulchellum;generalist
Clinopodium revolutum;generalist
Clinopodium robustum;tropical
Clinopodium rouyanum;extratropical
Clinopodium selerianum;generalist
Clinopodium sericeum;generalist
Clinopodium serpyllifolium;extratropical
Clinopodium simense;generalist
Clinopodium speciosum;generalist
Clinopodium striatum;tropical
Clinopodium suaveolens;extratropical
Clinopodium taxifolium;extratropical
Clinopodium tomentosum;extratropical
Clinopodium uhligii;generalist
Clinopodium umbrosum;generalist
Clinopodium vanum;generalist
Clinopodium vimineum;tropical
Clinopodium vulgare;extratropical
Clinopodium wardii;extratropical
Clinopodium weberbaueri;generalist
Clistax brasiliensis;generalist
Clistax speciosus;tropical
Codonacanthus pauciflorus;generalist
Codonanthe calcarata;tropical
Codonanthe carnosa;tropical
Codonanthe cordifolia;tropical
Codonanthe corniculata;generalist
Codonanthe crassifolia;tropical
Codonanthe devosiana;tropical
Codonanthe gibbosa;tropical
Codonanthe gracilis;tropical
Codonanthe luteola;tropical
Codonanthe macradenia;tropical
Codonanthe mattos-silvae;tropical
Codonanthe uleana;tropical
Codonanthopsis dissimulata;tropical
Codonanthopsis ulei;tropical
Coelocarpum glandulosum;tropical
Coelocarpum humbertii;tropical
Coelocarpum madagascariense;tropical
Coelocarpum swinglei;tropical
Colea asperrima;tropical
Colea floribunda;tropical
Colea fusca;tropical
Colea hirsuta;tropical
Colea lantziana;tropical
Colea myriaptera;tropical
Colea nana;tropical
Colea obtusifolia;tropical
Colea purpurascens;tropical
Colea tetragona;tropical
Colebrookea oppositifolia;generalist
Coleus amboinicus;tropical
Coleus scutellarioides;tropical
Collinsia bartsiifolia;extratropical
Collinsia callosa;extratropical
Collinsia childii;extratropical
Collinsia concolor;extratropical
Collinsia corymbosa;extratropical
Collinsia greenei;extratropical
Collinsia heterophylla;extratropical
Collinsia linearis;extratropical
Collinsia multicolor;extratropical
Collinsia parryi;extratropical
Collinsia parviflora;extratropical
Collinsia rattanii;extratropical
Collinsia sparsiflora;extratropical
Collinsia tinctoria;extratropical
Collinsia torreyi;extratropical
Collinsia verna;extratropical
Collinsia violacea;extratropical
Collinsonia canadensis;extratropical
Collinsonia elsholtzioides;extratropical
Collinsonia japonica;extratropical
Collinsonia punctata;extratropical
Collinsonia sinensis;extratropical
Colpias mollis;extratropical
Colquhounia coccinea;extratropical
Colquhounia elegans;generalist
Colquhounia seguinii;extratropical
Colquhounia vestita;extratropical
Columnea albiflora;generalist
Columnea ambigua;tropical
Columnea angustata;tropical
Columnea anisophylla;tropical
Columnea arguta;tropical
Columnea asteroloma;generalist
Columnea atahualpae;generalist
Columnea bilabiata;tropical
Columnea billbergiana;tropical
Columnea brenneri;generalist
Columnea byrsina;tropical
Columnea calotricha;tropical
Columnea capillosa;generalist
Columnea chiricana;tropical
Columnea chrysotricha;tropical
Columnea ciliata;generalist
Columnea consanguinea;tropical
Columnea coronata;tropical
Columnea crassa;tropical
Columnea crassifolia;tropical
Columnea cruenta;tropical
Columnea cuspidata;tropical
Columnea dictyophylla;tropical
Columnea dimidiata;tropical
Columnea dissimilis;tropical
Columnea domingensis;tropical
Columnea dressleri;tropical
Columnea eburnea;tropical
Columnea elongatifolia;tropical
Columnea ericae;tropical
Columnea erythrophaea;tropical
Columnea eubracteata;extratropical
Columnea fernandezii;tropical
Columnea filifera;tropical
Columnea filipes;tropical
Columnea fimbricalyx;tropical
Columnea flaccida;tropical
Columnea florida;tropical
Columnea formosa;tropical
Columnea fritschii;extratropical
Columnea fuscihirta;generalist
Columnea gigantifolia;tropical
Columnea glabra;tropical
Columnea guatemalensis;tropical
Columnea guianensis;tropical
Columnea guttata;tropical
Columnea herthae;tropical
Columnea hiantiflora;tropical
Columnea hirsutissima;tropical
Columnea hirta;tropical
Columnea hypocyrtantha;extratropical
Columnea illepida;tropical
Columnea inaequilatera;generalist
Columnea incredibilis;tropical
Columnea isernii;generalist
Columnea kalbreyeriana;tropical
Columnea kienastiana;tropical
Columnea labellosa;tropical
Columnea laevis;tropical
Columnea lanata;tropical
Columnea lariensis;tropical
Columnea lehmannii;tropical
Columnea lepidocaula;tropical
Columnea lepidocaulis;tropical
Columnea linearis;tropical
Columnea longinervosa;tropical
Columnea lophophora;generalist
Columnea maculata;tropical
Columnea magnifica;tropical
Columnea manabiana;generalist
Columnea mastersonii;generalist
Columnea medicinalis;generalist
Columnea microcalyx;tropical
Columnea microphylla;tropical
Columnea minor;tropical
Columnea minutiflora;tropical
Columnea mira;tropical
Columnea moesta;generalist
Columnea nariniana;tropical
Columnea nematoloba;tropical
Columnea nervosa;generalist
Columnea nicaraguensis;tropical
Columnea oblongifolia;generalist
Columnea oerstediana;tropical
Columnea orientandina;generalist
Columnea ornata;tropical
Columnea ovatifolia;generalist
Columnea oxyphylla;tropical
Columnea panamensis;tropical
Columnea paramicola;tropical
Columnea parviflora;tropical
Columnea pectinata;tropical
Columnea pedunculata;tropical
Columnea perpulchra;tropical
Columnea peruviana;generalist
Columnea picta;tropical
Columnea polyantha;tropical
Columnea praetexta;tropical
Columnea pulcherrima;tropical
Columnea pulchra;tropical
Columnea purpurata;tropical
Columnea purpureovittata;generalist
Columnea purpurimarginata;tropical
Columnea purpusii;tropical
Columnea querceti;tropical
Columnea raymondii;tropical
Columnea reticulata;tropical
Columnea rileyi;tropical
Columnea rosea;tropical
Columnea rubra;tropical
Columnea rubriacuta;tropical
Columnea rubricalyx;tropical
Columnea rubricaulis;tropical
Columnea sanguinea;tropical
Columnea sanguinolenta;tropical
Columnea scandens;tropical
Columnea schiedeana;generalist
Columnea schimpffii;tropical
Columnea segregata;tropical
Columnea serrata;tropical
Columnea spathulata;tropical
Columnea strigosa;generalist
Columnea sulcata;tropical
Columnea sulfurea;tropical
Columnea tandapiana;generalist
Columnea tenella;tropical
Columnea tenensis;tropical
Columnea tenuis;tropical
Columnea tessmannii;generalist
Columnea trollii;generalist
Columnea ultraviolacea;tropical
Columnea verecunda;tropical
Columnea villosissima;tropical
Columnea zebrina;tropical
Comanthosphace formosana;extratropical
Comanthosphace japonica;extratropical
Comanthosphace ningpoensis;extratropical
Comanthosphace stellipila;extratropical
Comoranthus minor;tropical
Comoranthus obconicus;tropical
Conandron ramondioides;extratropical
Condea albida;generalist
Condea americana;generalist
Condea anitae;extratropical
Condea decipiens;generalist
Condea elegans;tropical
Condea emoryi;extratropical
Condea floribunda;generalist
Condea jacobi;extratropical
Condea laniflora;generalist
Condea subtilis;generalist
Condea tafallae;tropical
Condea tephrodes;generalist
Condea tomentosa;generalist
Condea undulata;generalist
Condea verticillata;tropical
Congea griffithiana;tropical
Congea tomentosa;tropical
Conobea aquatica;tropical
Conobea multifida;extratropical
Conobea polystachya;generalist
Conobea scoparioides;tropical
Conocalyx laxus;tropical
Conopholis alpina;generalist
Conopholis americana;extratropical
Conradina canescens;extratropical
Conradina cygniflora;extratropical
Conradina glabra;extratropical
Conradina grandiflora;generalist
Conradina verticillata;extratropical
Corallodiscus kingianus;extratropical
Corallodiscus lanuginosus;extratropical
Cordylanthus capitatus;extratropical
Cordylanthus eremicus;extratropical
Cordylanthus kingii;extratropical
Cordylanthus laxiflorus;extratropical
Cordylanthus nevinii;extratropical
Cordylanthus orcuttianus;extratropical
Cordylanthus parviflorus;extratropical
Cordylanthus pilosus;extratropical
Cordylanthus pringlei;extratropical
Cordylanthus ramosus;extratropical
Cordylanthus rigidus;extratropical
Cordylanthus tenuis;extratropical
Cordylanthus wrightii;extratropical
Cornutia odorata;tropical
Cornutia pyramidata;tropical
Coronanthera aspera;tropical
Coronanthera clarkeana;tropical
Coronanthera deltoidifolia;tropical
Coronanthera pancheri;tropical
Coronanthera pedunculosa;tropical
Coronanthera pulchra;tropical
Coronanthera sericea;tropical
Coronanthera squamata;tropical
Corytoplectus capitatus;tropical
Corytoplectus congestus;tropical
Corytoplectus cutucuensis;tropical
Corytoplectus deltoideus;tropical
Corytoplectus grandifolius;generalist
Corytoplectus riceanus;generalist
Corytoplectus schlimii;generalist
Corytoplectus speciosus;generalist
Cosmianthemum magnifolium;tropical
Cosmianthemum obtusifolium;tropical
Cosmianthemum subglabrum;tropical
Crabbea acaulis;extratropical
Crabbea angustifolia;extratropical
Crabbea galpinii;extratropical
Crabbea hirsuta;extratropical
Crabbea kaessneri;generalist
Crabbea nana;extratropical
Crabbea ovalifolia;extratropical
Crabbea velutina;generalist
Craniolaria annua;tropical
Craniolaria argentina;extratropical
Craniolaria integrifolia;generalist
Craniotome furcata;extratropical
Crantzia tigrina;tropical
Craterostigma abyssinicum;tropical
Craterostigma hirsutum;tropical
Craterostigma plantagineum;generalist
Craterostigma pumilum;generalist
Craterostigma wilmsii;extratropical
Cremosperma castroanum;tropical
Cremosperma congruens;tropical
Cremosperma cotejense;undetermined
Cremosperma ecuadoranum;tropical
Cremosperma hirsutissimum;tropical
Cremosperma humidum;tropical
Cremosperma ignotum;tropical
Cremosperma maculatum;tropical
Cremosperma muscicola;tropical
Cremosperma nobile;tropical
Cremosperma parviflorum;tropical
Cremosperma peruvianum;tropical
Cremosperma pusillum;generalist
Cremosperma reldioides;tropical
Cremosperma serratum;tropical
Cremosperma veraguanum;tropical
Cremospermopsis cestroides;tropical
Cremospermopsis parviflora;tropical
Crepidorhopalon affinis;generalist
Crepidorhopalon alatocalycinus;extratropical
Crepidorhopalon bifolius;generalist
Crepidorhopalon debilis;tropical
Crepidorhopalon goetzei;tropical
Crepidorhopalon latibracteatus;tropical
Crepidorhopalon perennis;extratropical
Crepidorhopalon rupestris;tropical
Crepidorhopalon schweinfurthii;tropical
Crepidorhopalon spicatus;tropical
Crepidorhopalon tenuis;extratropical
Crepidorhopalon whytei;generalist
Crescentia alata;tropical
Crescentia amazonica;tropical
Crescentia cujete;tropical
Crescentia linearifolia;tropical
Crescentia portoricensis;tropical
Cromidon austerum;extratropical
Cromidon confusum;extratropical
Cromidon corrigioloides;extratropical
Cromidon decumbens;extratropical
Cromidon minutum;extratropical
Cromidon varicalyx;extratropical
Crossandra albolineata;tropical
Crossandra cloiselii;undetermined
Crossandra flava;tropical
Crossandra friesiorum;tropical
Crossandra fruticulosa;generalist
Crossandra grandidieri;tropical
Crossandra greenstockii;extratropical
Crossandra infundibuliformis;tropical
Crossandra isaloensis;tropical
Crossandra longipes;tropical
Crossandra massaica;generalist
Crossandra mucronata;tropical
Crossandra multidentata;tropical
Crossandra nilotica;tropical
Crossandra nobilis;tropical
Crossandra poissonii;tropical
Crossandra puberula;tropical
Crossandra pungens;tropical
Crossandra quadridentata;tropical
Crossandra spinosa;tropical
Crossandra stenandrium;tropical
Crossandra stenostachya;tropical
Crossandra strobilifera;tropical
Crossandra subacaulis;tropical
Crossandra tridentata;tropical
Crossandra zuluensis;generalist
Crossandrella cristalensis;tropical
Crossandrella dusenii;tropical
Cubitanthus alatus;tropical
Cunila angustifolia;generalist
Cunila galioides;extratropical
Cunila incana;tropical
Cunila incisa;generalist
Cunila leucantha;tropical
Cunila lythrifolia;extratropical
Cunila menthiformis;extratropical
Cunila microcephala;generalist
Cunila origanoides;extratropical
Cunila polyantha;generalist
Cunila pycnantha;generalist
Cunila spicata;generalist
Cuspidaria argentea;tropical
Cuspidaria bracteata;tropical
Cuspidaria cinerea;tropical
Cuspidaria convoluta;generalist
Cuspidaria emmonsii;tropical
Cuspidaria floribunda;tropical
Cuspidaria inaequalis;tropical
Cuspidaria lachnaea;tropical
Cuspidaria lateriflora;tropical
Cuspidaria multiflora;tropical
Cuspidaria octoptera;tropical
Cuspidaria pulchra;tropical
Cuspidaria sceptrum;tropical
Cuspidaria simplicifolia;tropical
Cuspidaria subincana;tropical
Cuspidaria weberbaueri;tropical
Cyanocephalus adpressus;tropical
Cyanocephalus apertiflorus;generalist
Cyanocephalus caprariifolius;tropical
Cyanocephalus cardiophyllus;tropical
Cyanocephalus cuneatus;tropical
Cyanocephalus delicatulus;tropical
Cyanocephalus desertorum;tropical
Cyanocephalus lanatus;tropical
Cyanocephalus lippioides;tropical
Cyanocephalus pedalipes;tropical
Cyanocephalus peduncularis;tropical
Cyanocephalus rugosus;tropical
Cyanocephalus selaginifolius;tropical
Cyanocephalus tacianae;tropical
Cyanocephalus tenuifolius;tropical
Cyanostegia angustifolia;extratropical
Cyanostegia corifolia;extratropical
Cyanostegia cyanocalyx;tropical
Cyanostegia lanceolata;extratropical
Cyanostegia microphylla;extratropical
Cybistax antisyphilitica;tropical
Cyclocheilon somaliense;tropical
Cycniopsis humifusa;generalist
Cycnium adonense;generalist
Cycnium cameronianum;tropical
Cycnium erectum;generalist
Cycnium filicalyx;generalist
Cycnium herzfeldianum;tropical
Cycnium jamesii;generalist
Cycnium racemosum;extratropical
Cycnium recurvum;tropical
Cycnium tenuisectum;tropical
Cycnium tubulosum;generalist
Cycnium veronicifolium;tropical
Cycnium volkensii;generalist
Cymaria dichotoma;tropical
Cymbalaria aequitriloba;extratropical
Cymbalaria hepaticifolia;extratropical
Cymbalaria longipes;extratropical
Cymbalaria microcalyx;extratropical
Cymbalaria muelleri;extratropical
Cymbalaria muralis;extratropical
Cymbalaria pallida;extratropical
Cymbaria daurica;extratropical
Cymbaria mongolica;extratropical
Cyrtandra adnata;tropical
Cyrtandra albibracteata;tropical
Cyrtandra angularis;tropical
Cyrtandra anisophylla;tropical
Cyrtandra apiculata;tropical
Cyrtandra arborescens;tropical
Cyrtandra areolata;tropical
Cyrtandra athrocarpa;tropical
Cyrtandra atrichoides;tropical
Cyrtandra aurantiaca;tropical
Cyrtandra axillaris;tropical
Cyrtandra baileyi;tropical
Cyrtandra basiflora;tropical
Cyrtandra beccarii;tropical
Cyrtandra bicolor;tropical
Cyrtandra bracheia;tropical
Cyrtandra bracteata;tropical
Cyrtandra bullifolia;tropical
Cyrtandra burbidgei;tropical
Cyrtandra capitellata;undetermined
Cyrtandra chrysea;tropical
Cyrtandra clarkei;tropical
Cyrtandra coccinea;tropical
Cyrtandra crockerella;tropical
Cyrtandra cuprea;tropical
Cyrtandra cupulata;tropical
Cyrtandra cymosa;tropical
Cyrtandra decurrens;tropical
Cyrtandra dilatata;tropical
Cyrtandra diplotricha;tropical
Cyrtandra dispar;tropical
Cyrtandra disparoides;tropical
Cyrtandra dissimilis;tropical
Cyrtandra dorytricha;tropical
Cyrtandra engleri;tropical
Cyrtandra erectiloba;tropical
Cyrtandra erectipila;tropical
Cyrtandra erythrotricha;undetermined
Cyrtandra eximia;tropical
Cyrtandra fasciata;tropical
Cyrtandra feaniana;undetermined
Cyrtandra fenestrata;tropical
Cyrtandra filibracteata;tropical
Cyrtandra fulvisericea;tropical
Cyrtandra geocarpa;tropical
Cyrtandra gibbsiae;tropical
Cyrtandra giffardii;tropical
Cyrtandra grandibracteata;undetermined
Cyrtandra grandis;tropical
Cyrtandra grayi;tropical
Cyrtandra hashimotoi;tropical
Cyrtandra hawaiensis;tropical
Cyrtandra hirtigera;undetermined
Cyrtandra holodasys;tropical
Cyrtandra hololeuca;tropical
Cyrtandra horizontalis;tropical
Cyrtandra hoseana;tropical
Cyrtandra humilis;tropical
Cyrtandra hypogaea;tropical
Cyrtandra incompta;tropical
Cyrtandra incrustata;tropical
Cyrtandra insularis;tropical
Cyrtandra kauaiensis;undetermined
Cyrtandra kealiae;undetermined
Cyrtandra lacerata;tropical
Cyrtandra lanata;tropical
Cyrtandra latibracteata;tropical
Cyrtandra longifolia;undetermined
Cyrtandra longipetiolata;tropical
Cyrtandra luteiflora;tropical
Cyrtandra lysiosepala;tropical
Cyrtandra macrocalyx;tropical
Cyrtandra megaphylla;tropical
Cyrtandra menziesii;tropical
Cyrtandra mesilauensis;tropical
Cyrtandra microcarpa;tropical
Cyrtandra mollis;tropical
Cyrtandra multibracteata;tropical
Cyrtandra nukuhivensis;undetermined
Cyrtandra oblongifolia;tropical
Cyrtandra obovata;undetermined
Cyrtandra ootensis;undetermined
Cyrtandra paludosa;tropical
Cyrtandra pedicellata;tropical
Cyrtandra peltata;tropical
Cyrtandra pendula;tropical
Cyrtandra penduliflora;tropical
Cyrtandra phoenicolasia;tropical
Cyrtandra pickeringii;undetermined
Cyrtandra picta;tropical
Cyrtandra platyphylla;tropical
Cyrtandra polyneura;tropical
Cyrtandra populifolia;tropical
Cyrtandra prostrata;tropical
Cyrtandra rhyncanthera;tropical
Cyrtandra sandei;tropical
Cyrtandra sarawakensis;tropical
Cyrtandra schumanniana;tropical
Cyrtandra serratifolia;tropical
Cyrtandra simplex;tropical
Cyrtandra sinclairiana;tropical
Cyrtandra smithiana;tropical
Cyrtandra splendens;tropical
Cyrtandra subgrandis;tropical
Cyrtandra tahuatensis;undetermined
Cyrtandra thibaultii;undetermined
Cyrtandra tintinnabula;tropical
Cyrtandra trisepala;tropical
Cyrtandra vaginata;tropical
Cyrtandra vesiculata;tropical
Cyrtandra vulpina;tropical
Cyrtandra wagneri;tropical
Cyrtandra wallichii;tropical
Cyrtandra warburgiana;tropical
Cyrtandra wariana;tropical
Cyrtandra woodsii;tropical
Cyrtandromoea angustifolia;tropical
Cyrtandromoea grandiflora;tropical
Cyrtandromoea subsessilis;tropical
Darcya reliquiarum;tropical
Dasistoma macrophylla;extratropical
Dasymalla terminalis;generalist
Dauphinea brevilabra;undetermined
Deinostema violacea;extratropical
Delostoma dentatum;generalist
Delostoma integrifolium;generalist
Delostoma lobbii;generalist
Depanthus glaber;tropical
Deplanchea bancana;tropical
Deplanchea glabra;tropical
Deplanchea sessilifolia;tropical
Deplanchea speciosa;tropical
Deplanchea tetraphylla;tropical
Dermatobotrys saundersii;generalist
Diascia aliciae;generalist
Diascia alonsooides;extratropical
Diascia anastrepta;extratropical
Diascia austromontana;extratropical
Diascia barberae;extratropical
Diascia batteniana;extratropical
Diascia bergiana;extratropical
Diascia bicolor;extratropical
Diascia capensis;extratropical
Diascia capsularis;extratropical
Diascia cardiosepala;extratropical
Diascia cordata;extratropical
Diascia cuneata;extratropical
Diascia decipiens;extratropical
Diascia diffusa;extratropical
Diascia dissimulans;extratropical
Diascia elongata;extratropical
Diascia engleri;extratropical
Diascia fetcaniensis;extratropical
Diascia gracilis;extratropical
Diascia hexensis;extratropical
Diascia humilis;extratropical
Diascia insignis;extratropical
Diascia integerrima;extratropical
Diascia lewisiae;extratropical
Diascia longicornis;extratropical
Diascia macrophylla;extratropical
Diascia megathura;extratropical
Diascia minutiflora;extratropical
Diascia mollis;generalist
Diascia namaquensis;extratropical
Diascia nana;extratropical
Diascia nodosa;extratropical
Diascia pachyceras;extratropical
Diascia parviflora;extratropical
Diascia patens;extratropical
Diascia personata;extratropical
Diascia racemulosa;generalist
Diascia rigescens;extratropical
Diascia rudolphii;extratropical
Diascia runcinata;extratropical
Diascia sacculata;extratropical
Diascia stachyoides;extratropical
Diascia stricta;extratropical
Diascia tanyceras;extratropical
Diascia veronicoides;extratropical
Diascia vigilis;extratropical
Diastema affine;tropical
Diastema comiferum;generalist
Diastema hispidum;tropical
Diastema racemiferum;tropical
Diastema scabrum;tropical
Dicerandra densiflora;extratropical
Dicerandra frutescens;generalist
Dicerandra linearifolia;extratropical
Dicerocaryum eriocarpum;extratropical
Dicerocaryum forbesii;generalist
Dicerocaryum senecioides;extratropical
Dicerocaryum zanguebarium;generalist
Dicladanthera forrestii;tropical
Dicladanthera glabra;tropical
Dicliptera acuminata;tropical
Dicliptera alternans;tropical
Dicliptera anomala;tropical
Dicliptera armata;tropical
Dicliptera arnhemica;tropical
Dicliptera australis;tropical
Dicliptera brachiata;extratropical
Dicliptera brevispicata;tropical
Dicliptera bupleuroides;extratropical
Dicliptera cabrerae;extratropical
Dicliptera capensis;extratropical
Dicliptera capitata;generalist
Dicliptera carvalhoi;generalist
Dicliptera cernua;extratropical
Dicliptera chinensis;extratropical
Dicliptera ciliaris;tropical
Dicliptera ciliata;tropical
Dicliptera cliffordii;extratropical
Dicliptera clinopodia;extratropical
Dicliptera cochabambensis;generalist
Dicliptera compacta;tropical
